feature_set,model,model_type,horizon,sl,tp,threshold,trades,win_rate,pnl_pct,max_dd,profit_factor,trades_per_week,sharpe,final_balance
base,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.65,1580,0.362,-70.52,71.52,0.61,35.4,-8.91,2947.9
base,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.7,1458,0.356,-69.52,70.15,0.6,32.7,-9.15,3048.2
base,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.55,1416,0.388,-69.89,70.86,0.59,31.7,-8.3,3010.79
base,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.6,1329,0.4,-65.51,67.2,0.62,29.8,-7.45,3449.37
base,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.65,1242,0.399,-63.03,64.66,0.62,27.8,-7.17,3696.66
base,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.7,1145,0.4,-58.64,60.16,0.63,25.6,-6.71,4136.26
base,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.55,1295,0.402,-65.49,66.46,0.6,29.0,-7.39,3450.57
base,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.6,1222,0.415,-61.71,63.27,0.62,27.4,-6.7,3828.69
base,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.65,1138,0.414,-58.03,59.89,0.64,25.5,-6.21,4197.13
base,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.7,1043,0.411,-52.87,54.59,0.66,23.4,-5.63,4713.18
base,rf_light,rf,6,0.01,0.02,0.55,1842,0.346,-80.57,80.57,0.49,41.3,-13.13,1942.74
base,rf_light,rf,6,0.01,0.02,0.6,1295,0.349,-67.43,67.93,0.53,29.0,-10.54,3257.36
base,rf_light,rf,6,0.01,0.02,0.65,830,0.363,-48.52,50.1,0.58,18.6,-7.56,5147.7
base,rf_light,rf,6,0.01,0.02,0.7,510,0.347,-36.04,38.2,0.57,11.4,-6.23,6396.26
base,rf_light,rf,6,0.015,0.03,0.55,1566,0.363,-74.1,74.28,0.5,35.1,-11.0,2590.28
base,rf_light,rf,6,0.015,0.03,0.6,1079,0.371,-59.89,60.6,0.55,24.2,-8.56,4010.52
base,rf_light,rf,6,0.015,0.03,0.65,680,0.39,-38.95,41.67,0.62,15.2,-5.45,6104.68
base,rf_light,rf,6,0.015,0.03,0.7,394,0.386,-26.92,30.79,0.63,8.8,-4.13,7308.15
base,rf_light,rf,6,0.02,0.04,0.55,1492,0.379,-73.38,73.39,0.5,33.4,-10.31,2661.78
base,rf_light,rf,6,0.02,0.04,0.6,1011,0.394,-57.08,58.08,0.56,22.6,-7.77,4292.37
base,rf_light,rf,6,0.02,0.04,0.65,629,0.409,-38.1,42.84,0.62,14.1,-5.07,6189.95
base,rf_light,rf,6,0.02,0.04,0.7,362,0.414,-24.52,29.73,0.66,8.1,-3.43,7548.01
base,rf_light,rf,8,0.01,0.02,0.55,1853,0.338,-80.09,80.09,0.52,41.5,-12.05,1990.58
base,rf_light,rf,8,0.01,0.02,0.6,1298,0.343,-66.45,66.51,0.57,29.1,-9.43,3354.77
base,rf_light,rf,8,0.01,0.02,0.65,759,0.353,-43.61,45.66,0.62,17.0,-6.37,5639.02
base,rf_light,rf,8,0.01,0.02,0.7,454,0.344,-30.03,31.82,0.63,10.2,-4.92,6996.94
base,rf_light,rf,8,0.015,0.03,0.55,1521,0.364,-74.37,74.73,0.54,34.1,-9.99,2562.67
base,rf_light,rf,8,0.015,0.03,0.6,1034,0.384,-56.74,57.37,0.59,23.2,-7.37,4326.32
base,rf_light,rf,8,0.015,0.03,0.65,588,0.406,-33.67,35.87,0.67,13.2,-4.36,6633.48
base,rf_light,rf,8,0.015,0.03,0.7,332,0.392,-22.61,24.8,0.67,7.4,-3.38,7739.04
base,rf_light,rf,8,0.02,0.04,0.55,1432,0.376,-72.1,72.45,0.54,32.1,-9.14,2790.5
base,rf_light,rf,8,0.02,0.04,0.6,960,0.393,-54.91,55.44,0.6,21.5,-6.6,4508.76
base,rf_light,rf,8,0.02,0.04,0.65,540,0.43,-30.8,33.81,0.7,12.1,-3.61,6919.65
base,rf_light,rf,8,0.02,0.04,0.7,299,0.428,-19.78,23.87,0.71,6.7,-2.65,8022.17
base,rf_light,rf,12,0.01,0.02,0.55,1763,0.352,-77.1,77.61,0.58,39.5,-10.32,2290.14
base,rf_light,rf,12,0.01,0.02,0.6,1257,0.362,-62.1,62.8,0.61,28.2,-8.36,3789.96
base,rf_light,rf,12,0.01,0.02,0.65,734,0.365,-42.65,46.29,0.64,16.4,-6.08,5735.04
base,rf_light,rf,12,0.01,0.02,0.7,418,0.352,-28.06,32.75,0.65,9.4,-4.54,7193.59
base,rf_light,rf,12,0.015,0.03,0.55,1357,0.388,-66.1,67.44,0.61,30.4,-7.66,3390.28
base,rf_light,rf,12,0.015,0.03,0.6,939,0.404,-50.89,53.57,0.64,21.0,-6.08,4911.35
base,rf_light,rf,12,0.015,0.03,0.65,533,0.415,-32.15,36.12,0.69,11.9,-4.03,6784.73
base,rf_light,rf,12,0.015,0.03,0.7,281,0.413,-18.61,25.05,0.71,6.3,-2.75,8138.6
base,rf_light,rf,12,0.02,0.04,0.55,1227,0.396,-61.69,62.95,0.63,27.5,-6.78,3830.71
base,rf_light,rf,12,0.02,0.04,0.6,837,0.417,-45.08,49.72,0.67,18.7,-4.96,5492.2
base,rf_light,rf,12,0.02,0.04,0.65,473,0.442,-30.78,36.16,0.69,10.6,-3.66,6921.84
base,rf_light,rf,12,0.02,0.04,0.7,242,0.413,-18.47,24.77,0.7,5.4,-2.53,8153.15
base,rf_std,rf,6,0.01,0.02,0.55,852,0.364,-49.77,50.84,0.57,19.1,-7.88,5022.82
base,rf_std,rf,6,0.01,0.02,0.6,566,0.353,-38.93,40.66,0.56,12.7,-6.83,6107.43
base,rf_std,rf,6,0.01,0.02,0.65,358,0.341,-26.65,28.44,0.59,8.0,-4.93,7335.38
base,rf_std,rf,6,0.01,0.02,0.7,242,0.318,-22.89,23.33,0.54,5.4,-4.91,7710.56
base,rf_std,rf,6,0.015,0.03,0.55,701,0.382,-40.34,41.88,0.62,15.7,-5.66,5966.11
base,rf_std,rf,6,0.015,0.03,0.6,454,0.392,-31.42,33.96,0.61,10.2,-4.85,6858.0
base,rf_std,rf,6,0.015,0.03,0.65,280,0.386,-21.15,24.29,0.64,6.3,-3.46,7884.76
base,rf_std,rf,6,0.015,0.03,0.7,180,0.367,-19.15,19.82,0.57,4.0,-3.64,8084.59
base,rf_std,rf,6,0.02,0.04,0.55,654,0.401,-37.92,40.19,0.63,14.6,-4.92,6207.68
base,rf_std,rf,6,0.02,0.04,0.6,415,0.424,-27.63,32.34,0.63,9.3,-3.98,7236.69
base,rf_std,rf,6,0.02,0.04,0.65,253,0.423,-16.52,22.43,0.7,5.7,-2.44,8348.11
base,rf_std,rf,6,0.02,0.04,0.7,154,0.39,-16.99,17.85,0.59,3.4,-2.96,8300.54
base,rf_std,rf,8,0.01,0.02,0.55,1013,0.344,-54.79,55.64,0.61,22.7,-7.63,4520.96
base,rf_std,rf,8,0.01,0.02,0.6,619,0.352,-33.46,35.81,0.67,13.9,-4.87,6654.37
base,rf_std,rf,8,0.01,0.02,0.65,376,0.324,-28.9,30.1,0.59,8.4,-5.17,7109.96
base,rf_std,rf,8,0.01,0.02,0.7,260,0.3,-23.34,25.15,0.57,5.8,-4.71,7666.31
base,rf_std,rf,8,0.015,0.03,0.55,803,0.376,-47.41,48.63,0.62,18.0,-6.08,5258.86
base,rf_std,rf,8,0.015,0.03,0.6,482,0.398,-26.63,29.15,0.7,10.8,-3.54,7336.56
base,rf_std,rf,8,0.015,0.03,0.65,275,0.389,-18.85,22.98,0.69,6.2,-2.92,8114.85
base,rf_std,rf,8,0.015,0.03,0.7,175,0.354,-17.19,19.03,0.61,3.9,-3.17,8281.19
base,rf_std,rf,8,0.02,0.04,0.55,753,0.396,-45.01,46.51,0.63,16.9,-5.38,5499.09
base,rf_std,rf,8,0.02,0.04,0.6,444,0.426,-25.77,28.97,0.71,9.9,-3.09,7422.86
base,rf_std,rf,8,0.02,0.04,0.65,244,0.426,-17.27,22.43,0.7,5.5,-2.46,8273.05
base,rf_std,rf,8,0.02,0.04,0.7,156,0.372,-17.57,19.79,0.6,3.5,-2.98,8243.27
base,rf_std,rf,12,0.01,0.02,0.55,1160,0.352,-58.52,59.27,0.62,26.0,-7.92,4148.32
base,rf_std,rf,12,0.01,0.02,0.6,750,0.36,-41.67,46.01,0.65,16.8,-5.82,5833.47
base,rf_std,rf,12,0.01,0.02,0.65,447,0.36,-28.94,32.89,0.65,10.0,-4.57,7105.86
base,rf_std,rf,12,0.01,0.02,0.7,276,0.33,-20.58,23.46,0.64,6.2,-3.84,7941.93
base,rf_std,rf,12,0.015,0.03,0.55,884,0.395,-48.0,50.2,0.65,19.8,-5.76,5200.29
base,rf_std,rf,12,0.015,0.03,0.6,539,0.423,-27.4,33.43,0.73,12.1,-3.31,7259.52
base,rf_std,rf,12,0.015,0.03,0.65,308,0.416,-18.48,23.85,0.73,6.9,-2.61,8152.19
base,rf_std,rf,12,0.015,0.03,0.7,185,0.4,-12.51,17.19,0.73,4.1,-2.08,8748.58
base,rf_std,rf,12,0.02,0.04,0.55,802,0.404,-44.17,47.08,0.68,18.0,-4.8,5583.0
base,rf_std,rf,12,0.02,0.04,0.6,482,0.421,-27.43,34.18,0.73,10.8,-3.08,7257.23
base,rf_std,rf,12,0.02,0.04,0.65,275,0.425,-18.96,24.8,0.72,6.2,-2.48,8104.19
base,rf_std,rf,12,0.02,0.04,0.7,160,0.419,-11.28,17.33,0.75,3.6,-1.7,8872.42
base,rf_deep,rf,6,0.01,0.02,0.55,396,0.359,-27.13,28.64,0.62,8.9,-4.76,7286.82
base,rf_deep,rf,6,0.01,0.02,0.6,281,0.338,-22.99,24.64,0.58,6.3,-4.59,7701.14
base,rf_deep,rf,6,0.01,0.02,0.65,202,0.317,-18.98,20.13,0.55,4.5,-4.3,8101.67
base,rf_deep,rf,6,0.01,0.02,0.7,127,0.307,-13.94,14.86,0.52,2.8,-3.79,8606.14
base,rf_deep,rf,6,0.015,0.03,0.55,311,0.389,-21.1,23.76,0.67,7.0,-3.29,7890.18
base,rf_deep,rf,6,0.015,0.03,0.6,211,0.384,-18.68,21.71,0.62,4.7,-3.31,8132.2
